algo,env,EpLenMean,EpRewMean,EpRewMeanThisIter,EpSuccessSoFar,EpSuccessThisIter,EpThisIter,EpisodesSoFar,SucRateSoFar,SucRateThisIter,TimeElapsed,TimestepsSoFar,ev_tdlam_before,loss_ent,loss_kl,loss_pol_entpen,loss_pol_surr,loss_vf_loss
ppo,QuadTakeOffHoverEnv-v0,,,,,,,,,,,,,,,,,
,,27.916666666666668,-304.759203340236,-304.759203340236,0,0,36,36,0.0,0.0,75.15752983093262,1005,0.0015203356742858887,2.9157536,0.013530928,0.0,-0.027187783,23213.113
,,28.013698630136986,-313.79754587428255,-322.59160888038184,0,0,37,73,0.0,0.0,150.43410181999207,2045,-0.04939126968383789,2.9157536,0.010036466,0.0,-0.027233317,24338.91
,,27.73,-315.8145561515557,-321.6441297243648,0,0,37,110,0.0,0.0,225.81975436210632,3053,-0.10765969753265381,2.9157536,0.012781765,0.0,-0.030353107,23761.748
,,27.73,-317.86932613795364,-307.90069120138867,0,0,37,147,0.0,0.0,302.3434507846832,4091,-0.11978363990783691,2.9157536,0.015198006,0.0,-0.033191327,20607.18
,,27.84,-317.9223632514125,-320.4539150352199,0,0,36,183,0.0,0.0,379.47804856300354,5101,-0.08201217651367188,2.9157536,0.013063925,0.0,-0.031621203,19819.291
,,27.83,-316.01066696202275,-306.6817826003586,0,0,38,221,0.0,0.0,455.7527503967285,6141,-0.00995481014251709,2.9157536,0.011487161,0.0,-0.027111059,18778.7
,,27.67,-313.7889221093609,-319.2509442566405,0,0,36,257,0.0,0.0,531.2481689453125,7152,-0.0158689022064209,2.9157536,0.013414204,0.0,-0.0318319,18867.412
,,27.63,-314.34329567109694,-317.4745430414316,0,0,36,293,0.0,0.0,607.5477020740509,8167,-0.00745236873626709,2.9157536,0.011965046,0.0,-0.031322293,18200.56
,,28.15,-320.5791700281038,-324.66631076450227,0,0,36,329,0.0,0.0,684.46834897995,9196,-0.0022088289260864258,2.9157536,0.0107786,0.0,-0.024082376,18237.244
